run_item_id,template_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,arm_label,assistant_response,output_tokens,system_prompt_sha256,ran_at_utc
PRR_A_r01,A_trip_planning,1,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r02,A_trip_planning,2,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r03,A_trip_planning,3,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r04,A_trip_planning,4,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r05,A_trip_planning,5,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r06,A_trip_planning,6,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r07,A_trip_planning,7,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_A_r08,A_trip_planning,8,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Should we focus on budget and schedule first, or switch to restaurants now?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_B_r01,B_hiring_packet,1,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Should we focus on the hiring packet first, or switch to onboarding training?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_B_r02,B_hiring_packet,2,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Should we focus on the hiring packet first, or switch to onboarding training?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_B_r03,B_hiring_packet,3,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Should we focus on the hiring packet first, or switch to onboarding training?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_B_r04,B_hiring_packet,4,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Should we focus on the hiring packet first, or switch to onboarding training?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
PRR_B_r05,B_hiring_packet,5,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Should we focus on the hiring packet first, or switch to onboarding training?",16,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:13:10Z
