run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,fixed_turn3_handoff_text,acceptance_turn,arm_label,assistant_turn5_response,turn5_output_tokens,system_prompt_sha256,ran_at_utc
PSA_A_side_r01,A_trip_planning,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's talk restaurants. What kind of food are you interested in?",18,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_A_side_r02,A_trip_planning,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with restaurants. What kind of food are you interested in?",19,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_A_side_r03,A_trip_planning,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's talk restaurants. What kind of food are you interested in?",18,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_A_side_r04,A_trip_planning,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with restaurants. What kind of food are you interested in?",19,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_B_side_r01,B_hiring_packet,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with onboarding training. What specific areas or skills should the training cover?",21,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_B_side_r02,B_hiring_packet,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with onboarding training. What specific areas or skills should the training cover?",21,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_B_side_r03,B_hiring_packet,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with onboarding training. What specific areas or skills should the training cover?",21,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_B_side_r04,B_hiring_packet,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's start with onboarding training. What specific areas or skills should the training cover?",21,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_C_side_r01,C_incident_response,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's work on the postmortem format. What specific aspects of the format are you most interested in defining right now?",28,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
PSA_C_side_r02,C_incident_response,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,revised_energy_policy_resolution_plus_first_commit_v2,"Okay, let's work on the postmortem format. What specific aspects of the format are you most interested in defining right now?",28,e2ee6f1d30ac894ebbf25e7c8fde6bc9d9c03615f750ca79ff224cb1055cbbbc,2026-03-17T21:22:14Z
