run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,acceptance_turn,arm_label,assistant_turn3_response,assistant_turn5_response,turn3_output_tokens,turn5_output_tokens,system_prompt_sha256,ran_at_utc
PRA_A_main_r01,A_trip_planning,accept_main_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's focus on budget and schedule first. To help me create a plan, could you please share your destination and travel dates?",37,30,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_main_r02,A_trip_planning,accept_main_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's focus on budget and schedule first. To help me create a plan, can you tell me your destination and travel dates?",37,30,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_main_r03,A_trip_planning,accept_main_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's focus on budget and schedule first. To help me create a plan, could you please share your destination and travel dates?",37,30,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_main_r04,A_trip_planning,accept_main_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's stay with budget and schedule first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's focus on budget and schedule first. To help me create a plan, could you please share your destination and travel dates?",37,30,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_side_r01,A_trip_planning,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's talk restaurants first. What kind of cuisine and price range are you thinking about?",37,22,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_side_r02,A_trip_planning,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's talk restaurants first. What kind of cuisine and price range are you thinking about?",37,22,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_side_r03,A_trip_planning,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's talk restaurants! What kind of food are you in the mood for?",37,20,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_A_side_r04,A_trip_planning,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,Let's switch to restaurants first.,baseline,"Okay, I can help you with that! To start, can you tell me your destination, travel dates, and budget? Also, what kind of restaurants are you interested in?","Okay, let's talk restaurants! What kind of food are you in the mood for?",37,20,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_B_main_r01,B_hiring_packet,accept_main_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,baseline,"Okay, I can help you with that. Let's start with the required documents, the deadline, and then we can brainstorm some ideas for onboarding training.","Great, let's get started on the hiring packet!",33,13,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
PRA_B_main_r02,B_hiring_packet,accept_main_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,Let's focus on the hiring packet first.,baseline,"Okay, I can help with that. Let's start with a list of required documents and setting a deadline. Then we can brainstorm onboarding training ideas.","Sounds good, let's focus on the hiring packet first.",32,14,68175a85868e30e9c1f60f1a7b00b768508a5738b4040f3ce0f0f3c829320563,2026-03-17T11:05:24Z
