run_item_id,template_id,acceptance_variant_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,fixed_turn3_handoff_text,acceptance_turn,arm_label,assistant_turn5_response,turn5_output_tokens,system_prompt_sha256,ran_at_utc
PSA_A_side_r01,A_trip_planning,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,baseline,"Okay, let's switch to restaurants! What kind of food are you interested in and what's your budget per meal?",27,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_A_side_r02,A_trip_planning,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,baseline,"Okay, let's switch to restaurants! What kind of food are you interested in and what's your budget per meal?",27,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_A_side_r03,A_trip_planning,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,baseline,"Okay, let's switch to restaurants! What kind of food are you interested in and what's your budget per meal?",27,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_A_side_r04,A_trip_planning,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,"Should we focus on budget and schedule first, or switch to restaurants now?",Let's switch to restaurants first.,baseline,"Okay, let's switch to restaurants! What kind of food are you interested in and what's your budget per meal?",27,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_B_side_r01,B_hiring_packet,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,baseline,"Okay, let's switch to onboarding training. What aspects of onboarding are you thinking about?",20,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_B_side_r02,B_hiring_packet,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,baseline,"Okay, let's switch to onboarding training. What aspects of onboarding are you thinking about?",20,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_B_side_r03,B_hiring_packet,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,baseline,"Okay, let's switch to onboarding training. What aspects of onboarding are you thinking about?",20,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_B_side_r04,B_hiring_packet,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,"Should we focus on the hiring packet first, or switch to onboarding training?",Let's switch to onboarding training first.,baseline,"Okay, let's switch to onboarding training. What aspects of onboarding are you thinking about?",20,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_C_side_r01,C_incident_response,accept_side_first,1,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,baseline,"Okay, let's switch to the postmortem format first.",14,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_C_side_r02,C_incident_response,accept_side_first,2,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,baseline,"Okay, let's switch to the postmortem format first.",14,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_C_side_r03,C_incident_response,accept_side_first,3,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,baseline,"Okay, let's switch to the postmortem format first.",14,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
PSA_C_side_r04,C_incident_response,accept_side_first,4,gemini,gemini-2.0-flash,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,"Should we focus on the incident-response plan first, or switch to the postmortem format?",Let's switch to the postmortem format first.,baseline,"Okay, let's switch to the postmortem format first.",14,222618a2da771aba80844aab58d23864fdf734651178e87296d1aa3ba7d53942,2026-03-17T21:21:53Z
