run_item_id,template_id,rep_id,provider,model,temperature,active_main_objective,later_side_topic_turn,arm_label,assistant_response,output_tokens,system_prompt_sha256,ran_at_utc
PRR_A_r01,A_trip_planning,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on the budget and schedule first, or would you like to switch to restaurants now?",26,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r02,A_trip_planning,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on the budget and schedule first, or would you like to switch to restaurants now?",26,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r03,A_trip_planning,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on the budget and schedule first, or would you like to switch to restaurants now?",26,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r04,A_trip_planning,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?",25,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r05,A_trip_planning,5,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?",25,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r06,A_trip_planning,6,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?",25,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r07,A_trip_planning,7,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?",25,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_A_r08,A_trip_planning,8,anthropic,claude-sonnet-4-6,0.0,Help me prepare the trip plan. The important things are budget and schedule.,I am also thinking about restaurants.,nrr_priority_resolution_v1,"Got it! Should we focus on budget and schedule first, or would you like to switch to restaurants now?",25,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r01,B_hiring_packet,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r02,B_hiring_packet,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r03,B_hiring_packet,3,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r04,B_hiring_packet,4,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r05,B_hiring_packet,5,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r06,B_hiring_packet,6,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r07,B_hiring_packet,7,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_B_r08,B_hiring_packet,8,anthropic,claude-sonnet-4-6,0.0,Help me prepare the hiring packet. The important things are required documents and the deadline.,I also want to think about onboarding training.,nrr_priority_resolution_v1,"Got it. Should we finish putting together the hiring packet first, then move to onboarding training — or would you prefer to switch focus now?",33,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_C_r01,C_incident_response,1,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,nrr_priority_resolution_v1,"Got it on the incident-response plan — escalation contacts and response timing are clear priorities.

Before touching postmortem format, would you like to finish the incident-response plan first, or switch to postmortem format now?",51,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
PRR_C_r02,C_incident_response,2,anthropic,claude-sonnet-4-6,0.0,Help me prepare the incident-response plan. The important things are escalation contacts and response timing.,I am also thinking about the postmortem format.,nrr_priority_resolution_v1,"Those are related but distinct pieces of work. Should we finish the incident-response plan (escalation contacts and response timing) first, then move to the postmortem format — or would you rather switch to the postmortem format now?",52,e8fe0fd2eae272add18b19d752378be6ba1ae109af01eaa6cd233ddea51f5083,2026-03-17T09:10:51Z
